,Prop_ID,Name,Address,DogRuns_Type,Accessible,Notes
22,B032,Fort Greene Park Off-Leash Area,"All areas excluding the playgrounds, tennis courts, and lawns with posted signs.",Off-Leash,N,
23,B372,Friends Field Park Off-Leash Area,"East 4th Street, Avenue L, and McDonald Avenue",Off-Leash,N,
24,B038,Fulton Park Off-Leash Area,,Off-Leash,N,
25,B401,Grand Ferry Park Off-Leash Area,,Off-Leash,N,
26,B088,Herbert Von King Park Dog Run,Marcy Avenue & Lafayette Avenue,Run,N,
27,B223G,Hillside Park Dog Run,Columbia Heights & Middagh Street,Run,N,
28,B111A,Washington Park Dog Run,"3rd to 4th streets, 4th to 5th avenues",Run,N,
29,B035,John Paul Jones Park Off-Leash Area,4th Avenue and 101st Street ,Off-Leash,N,
30,B129,Kaiser Park Off-Leash Area,"Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek",Off-Leash,N,
31,B052,Leif Ericson Park Off-Leash Area,67th Street between 6th Avenue and 7th Avenue,Off-Leash,N,
32,B054,Lincoln Terrace Park Off-Leash Area,Eastern Parkway between Buffalo and Rochester avenues,Off-Leash,N,
33,B223S,Macri Square Park Off-Leash Area,Union Turnpike and Metropolitan Avenue,Off-Leash,N,Off-leash dogs are permitted throughout this small park.
34,B251,Manhattan Beach Dog Run,"East of Ocean Avenue, North Shore Rockaway inlet",Run,N,
35,B057,Marine Park Off-Leash Area,"All areas excluding the playgrounds, ballfields, and Natural Areas.",Off-Leash,N,
36,B058,McCarren Park Dog Run,"North 12th Street, Driggs Avenue and Union Avenue",Run,N,
37,B114,McGolrick Park Dog Run,North Henry Street and Driggs Avenue,Run,N,
38,B060,McKinley Park Off-Leash Area,"Fort Hamilton Parkway, 7th Avenue, 73rd Street to 75th Street",Off-Leash,N,
39,B159,Mount Prospect Park Off-Leash Area,Eastern Parkway between Washington and Underhill avenues,Off-Leash,N,
40,B066,Owls Head Park Dog Run,68th Street and Shore Road,Run,N,
41,B223DA,Adam Yauch Park Dog Run,Columbia Place & State Street,Run,N,
42,B073,Prospect Park Off-Leash Area,"Middle & Upper Long Meadow (excludes ballfield area in the Lower Long Meadow), Nethermead, Peninsula.",Off-Leash,N,
43,B082,Frank Decolvenaere Dog Run,Shore Road & 3rd Ave,Run,Y,
44,B087,Sunset Park Off-Leash Area,"Sunset Park Oval lawn area only, center of park 44th Street, 41st Street, 6th Avenue",Off-Leash,N,
45,M081,Carl Schurz Park Dog Run (2 runs),East End Avenue to East River from Gracie Square (East 84th Street) to 89th Street,Run,N,
46,M010,Central Park Off-Leash Area,"Though there are no enclosed dog runs, there are 23 particularly dog-friendly areas scattered throughout the Park.",Off-Leash,N,"Please see Central Park Conservancy's <a href=""http://assets.centralparknyc.org/pdfs/about/Dog_Owner_Guide_to_Central_Park.pdf"">Dog-Friendly Areas</a> document for details."
47,M,Chelsea Waterside Park Dog Run,11th Ave and 22nd Street,Run,N,"<em>*Please note: this dog run is administered by the Hudson River Park Trust.</em>
<br /><a href=""http://www.hudsonriverpark.org/explore/dogruncw.html"">More information.</a>"
48,M019,Coleman Oval Park Dog Run,Pike and Monroe streets,Run,N,
49,M022,De Witt Clinton Park Dog Run (2 runs),"West 52nd Street & West 54th Street, between 10th & 11th avenues",Run,N,
50,M291,Fishbridge Park Garden Dog Run,"Dover Street, between Pearl & Water Street",Run,N,
51,M029,Fort Tryon Park Dog Run,Margaret Corbin Drive,Run,N,"<a href=""http://www.ftdog.org/"">More information.</a>"
52,M028,Ft. Washington Park Dog Run,165th Street & Riverside Drive,Run,N,
53,M037,Highbridge Park Dog Run,Amsterdam and Fort George avenues,Run,N,"<a href=""http://www.highbridgek9club.org/"">More Information</a>."
54,M,Hudson River Park Dog Run (Greenwich Village),Leroy Street at the northeast corner of Pier 40,Run,N,"<a href=""http://www.hudsonriverpark.org/explore/dogrunleroyst.html"">More information.</a>"
55,M,Hudson River Park Dog Run (North Chelsea),Pier 84 at West 44th Street,Run,N,"<a href=""http://www.hudsonriverpark.org/explore/dogrunpier84.html"">More information.</a>"
56,M042,Inwood Hill Park Dog Run: Homer's Run,Seaman Avenue & Isham Street,Run,N,"Seaman Avenue & Isham Street, just north of the flagpole. More information at <a href=""http://www.inwoof.com/"">www.inwoof.com </a>."
57,M099,J. Hood Wright Park Dog Run,"Fort Washington & Haven Avenues, West 173rd Street",Run,N,
58,M052,Madison Square Park Dog Run,Madison Avenue to 5th Avenue between East 23rd Street & East 26th Street,Run,N,
59,M058,Marcus Garvey Park Dog Run,Madison Avenue and East 120th Street,Run,N,
60,M056,Morningside Park Dog Run,Morningside Avenue between 114th and 119th streets,Run,N,
61,M108N,Peter Detmold Park Dog Run,"West of FDR Drive, between East 49th & East 51st streets",Run,N,
62,M104,Randalls Island Park Off-Leash Area,"Except for areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,Off-leash hours for the island are before 9:00 a.m. and after 9:00 p.m.
63,M071,Riverside Park Dog Run (3 runs),"Riverside Drive at West 72nd, West 87th, West 105th",Run,N,"<a href=""http://nycgovparks.org/sub_your_park/vt_riverside_park/images/dog_owners_guide_riverside_park.pdf"">Dog Owners' Guide to Riverside Park </a>"
64,M158,Robert Moses Park Dog Run,41st & 42nd streets at 1st Avenue,Run,N,
65,M077,St. Nicholas Park Dog Run,"St Nicholas Avenue to St. Nicholas Terrace, West 128th to West 141 streets",Run,N,
66,M053,Theodore Roosevelt Park Dog Run,Central Park West at West 81st Street,Run,N,
67,M047,Thomas Jefferson Park Dog Run,East 112th Street and FDR Drive,Run,N,
68,M088,Tompkins Square Park Dog Run,"1st Avenue to Avenue B, from East 7th to East 10th streets",Run,Y,
69,M089,Union Square Dog Run,15th Street & Union Square West,Run,N,
70,M098,Washington Square Park Dog Run,"5th Avenue, Waverly Place, West 4th Street, between McDougal & Thompson streets, south side of the park (behind building)",Run,N,
71,Q001,Alley Pond Park Off-Leash Area,Grand Central Parkway/Winchester Boulevard/Kingsbury Avenue,Off-Leash,N,
72,Q004,Astoria Park Off-Leash Area,,Off-Leash,N,
73,Q005,Baisley Pond Park Off-Leash Area,Between119th and 123rd avenues,Off-Leash,N,
74,Q005,Baisley Pond Park Off-Leash Area,Lakeview Lane between Foch Boulevard and Lakeview Lane East,Off-Leash,N,
75,Q007,Bayswater Park Off-Leash Area,,Off-Leash,N,
76,Q012,Crocheron Park Off-Leash Area,,Off-Leash,N,
77,Q021,Cunningham Park Dog Run,193rd Street between Aberdeen Road & Radnor Road,Run,N,
78,Q099,Flushing Meadows Corona Park Off-Leash Area,,Off-Leash,N,
79,Q015,Forest Park: Overlook Dog Park/The Barking Lot,"Corner of Park Lane and Forest Park Drive, behind the Overlook building at 80-30 Park Lane",Run,N,
80,Q015,Forest Park: K9 Korral,Park Lane South and 85th Street,Run,N,
81,Q102,Juniper Valley Park Off-Leash Area,,Off-Leash,N,
82,Q393D,La Guardia Landing Lights Off-Leash Area,,Off-Leash,N,
83,Q393D,Landing Lights Off-Leash Area,"Grand Central Parkway, 81 Street & 82 Street & Astoria Boulevard, 23 Avenue 84, 24 thru 30 Avenues, 77 Street through 81 Street",Off-Leash,N,
84,Q010A,Little Bay Park Dog Run,North side of the Cross Island Parkway & Utopia Parkway,Run,N,
85,Q009,MacNeil Park Off-Leash Area: 6:00 a.m. - 9:00 a.m. Only,Mainly zone #1,Off-Leash,N,
86,Q141,Murray Playground Dog Run,21st Street & 45th Road (southeastern side of the park),Run,N,
87,Q104,Queensbridge Park Off-Leash Area,,Off-Leash,N,
88,Q048,Rainey Park Off-Leash Area,,Off-Leash,N,
89,Q004A,Ralph DeMarco Park Off-Leash Area,,Off-Leash,N,
90,Q371,Rockaway Community Park Off-Leash Area,Almeda Avenue between Beach 51st Street and Beach 54th Street,Off-Leash,N,
91,Q219,Rockaway Freeway Dog Park,Rockaway Freeway and Beach 84th Street,Run,N,
92,Q341C,Sherry Park Dog Run,"Queens Boulevard, 65 Place, and the Brooklyn-Queens Expressway",Run,N,
93,Q107,Springfield Park Off-Leash Area,,Off-Leash,N,
94,Q451,Underbridge Playground Dog Run,64th Avenue/64th Road on Grand Central Parkway service road,Run,N,
95,Q013,Veteran's Grove Dog Run,Judge Street & Whitney Avenue (south side of Park),Run,N,
96,Q031A,Windmuller Park Dog Run (Doughboy Plaza),"Woodside Avenue, 54-56 streets",Run,N,
97,Q425,Yellowstone Park Off-Leash Area,Sitting area located at 68 Road and Yellowstone Boulevard.  ,Off-Leash,N,Hours: 6:00 a.m. to 9:00 a.m. only 
98,R052,Allison Park Off-Leash Area,"Field at the end of the trail bordered by Prospect Avenue, Sailors Snug Harbor Cemetery, and the pond.",Off-Leash,N,
99,R059,Arthur Von Briesen Park Off-Leash Area,"Lawn area, mid-park right side 
",Off-Leash,N,
100,R005,Clove Lakes Park Off-Leash Area,Open field above picnic area near Royal Oak Rd. & Rice Ave.,Off-Leash,N,
101,R070,Clove&rsquo;s Tail Park Off-Leash Area,"Lawn area, corner of Victory Boulevard & Little Clove Road
",Off-Leash,N,
102,R027,Cozzens Woods Park Off-Leash Area,Page Avenue between Hylan Boulevard & Amboy Road,Off-Leash,N,
103,R121,Siedenburg Park Off-Leash Area,Greaves Avenue & Evergreen Street,Off-Leash,N,
104,R075A,Father Macris Park Off-Leash Area,Lawn area beyond ballfield,Off-Leash,N,
105,R079,Lemon Creek Park Off-Leash Area,Bottom of Seguine Avenue at Johnston Terrace; just below playground,Off-Leash,N,
106,R022,Silver Lake Park Dog Run,"Victory Boulevard below the pavilion, across from the Parkview Apartments",Run,N,
107,R046,South Beach Park Off-Leash Area,,Off-Leash,N,On sand after Labor Day and before Memorial Day
108,R030,Willowbrook Park Off-Leash Area,Archery Range Field,Off-Leash,N,
109,R031,Wolfe's Pond Park Dog Run,Run is to left of Cornelia Avenue,Run,N,
110,R005,Clove Lakes Park Off-Leash Area,Brookside Avenue between Alpine Court & Kingsley Avenue (lawn area),Off-Leash,N,
111,B077,Coffey Park Off-Leash Area,"King Street, Richards Street, and Verona Street at Dwight and Pioneer Streets",Off-Leash,N,
112,M017,Corlears Hook Park Dog Run,Cherry Street and Jackson Street (on the north side of the park building),Run,N,
113,M108Q1,Andrew Haswell Green Park Dog Run,East River at 63rd Street,Run,N,
114,R065,Amundsen Trail Off-Leash Area,Between Amboy Road and Hylan Boulevard,Off-Leash,N,
115,R106,Bloomingdale Park Dog Run,Maguire Avenue behind athletic fields closer to Romona Avenue ,Run,N,
116,Q471,Hunter's Point South Park Dog Run,,Run,N,
117,Q340,Torsney/Lou Lodati Playground Dog Run,43rd Street & Skillman Avenue,Run,N,
118,B012,Brower Park Off-Leash Area,"St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.",Off-Leash,N,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours."
119,B025,Cooper Park Dog Run,At the intersection of Morgan Avenue and Sharon Street,Run,N,
120,M042,Dyckman Fields Off-Leash Area,"Dyckman Street, near the Hudson River",Off-Leash,N,
121,X045,St. Mary's Dog Run,Near corner of Cypress Ave and East 143rd St,Run,N,
122,R006,Conference House Park Dog Run,Clermont Avenue and Massachusetts Street,Run,N,
123,X118,Soundview Dog Run,Lafayette Avenue Between Colgate and Boynton Avenues,,Y,Large and small dog runs.
124,X092,Van Cortlandt Park: Oneida Run,Van Cortlandt Park East between Oneida Avenue and East 238th Street,Run,Y,"<a href=""https://vancortlandt.org/visit/things-to-see-and-do/"">More info.</a>"
125,B016,Maria Hernandez Park Dog Run,Irving Ave. & Suydam St.,Run,Y,
126,Q015,Forest Park Off-Leash Area,,Off-Leash,N,"Some park areas allow dogs to be off leash from the time the park opens until 9:00 a.m. and from 9:00 p.m. until the park closes. Dogs are not permitted in playgrounds, fountains, natural areas/trails, ballfields, and on athletic courts."
127,X002,Bronx Park Dog Run,Boston Road & Bronx Park East,Run,Y,
128,Q066C,Triborough Bridge Playground C Dog Run,Hoyt Ave & 24th St,Run,Y,
129,X039,Pelham Bay Park Dog Run,Middletown Road Parking Lot (off Stadium Ave.),Run,N,
130,X020,Fort Independence Playground Dog Run,Sedgwick Ave & W. 238th St,Run,N,
131,X247,Fox Playground Dog Run,Fox St & E. 15th St,Run,N,
132,B055,Sternberg Park Dog Run,Leonard St between Montrose Ave & Boerum St,Run,N,
133,B130,Greenwood Playground Dog Run,E. 5th St & Fort Hamilton Parkway,Run,N,
134,M086,Stuyvesant Square Dog Park,E. 15th St between 2nd Ave & Perlman Pl,Run,N,
135,M366,Tribeca Dog Run,Warren St between West St  & Greenwich St,Run,N,
136,M353,Riverside Park South Dog Run,Hudson River Greenway at W. 72nd St,Run,N,
137,M072,Riverside Park: 142nd Street Dog Run,W. 142nd St & Riverside Dr,Run,N,
138,M263,Bellevue South Park Dog Run,Mt. Carmel Pl & E. 26th St,Run,N,
139,R097,Ida Court Playground Dog Run,Ida Court between N. Railroad St & Drumgoole Road E,Run,N,
140,X307,Barretto Point Park Off-Leash Area,Tiffany Street and Viele Avenue,Off-Leash,N,
141,X305,Concrete Plant Park   Off-Leash Area,Along Bronx River between Bruckner Blvd & Westchester Avenue,Off-Leash,N,
142,X126,Ferry Point Park Off-Leash Area,Schley Avenue between Brush and Balcom Avenues,Off-Leash,N,
143,X196,Haffen Park  Off-Leash Area,Gunther and Hammersley Avenues,Off-Leash,N,
144,X046,Seton Falls Park Off-Leash Area,Baychester Avenue and East 233 Street,Off-Leash,N,
145,X147A,Starlight Park   Off-Leash Area,Sheridan Blvd and East 172 Street,Off-Leash,N,
146,X092,Van Cortlandt Park:  Sackerah Woods Dog Run,Gun Hill Road and Gates Place,Run,N,
147,B068,Kensington Dog Run,Coney Island Ave at Kermit Pl,Run,Y,
148,Q393A,LaGuardia Landing Lights Dog Run,78th Street between 25th and 30th Avenue,,N,
149,X013,Devoe Park Dog Run,Sedgwick Avenue between Webb Ave and West Fordham Road,Run,N,
150,X044,St. James Park,"Jerome Ave., E. 193 St., Creston Ave., E",Run,N,
